url,pid,abstract
21241647,https://pubmed.ncbi.nlm.nih.gov/21241647/,"BACKGROUND: The history of auditory prosthesis has generally concentrated on bottom-up processing, that is, on audibility. However, a growing interest in top-down processing has focused on correlations between success with a hearing aid and such higher order processing as the patient's intelligence, problem solving and language skills, and the perceived effort of day-to-day listening.
PURPOSE: Examination of two cases of cognitive effects in hearing that illustrate less-often-studied issues: (1) Individual subjects in a study use different listening strategies, a fact that, if not known to the experimenter, can lead to errors in interpretation; (2) A measure of shared attention can point to otherwise unknown functional effects of an algorithm used in hearing aids.
RESEARCH DESIGN: In the two examples described above: (1) Patients with cochlear implants served in a study of the binaural precedence effect, that is, echo suppression. (2) Individuals identifying speech-in-noise benefit from noise reduction (NR) when the criterion was improved performance in simultaneous tests of verbal memory or visual reaction times.
CONCLUSIONS: Studies of hearing impairment, either in the laboratory or in a fitting session, should include study of the complex stimuli that make up the natural environment, conditions where the thinking auditory brain adopts strategies for dealing with large amounts of input data. In addition to well-known factors that must be included in communication, such things as familiarity, syntax, and semantics, the work here shows that strategic listening can affect even how we deal with seemingly simpler requirements, localizing sounds in a reverberant auditory scene and listening for speech in noise when busy with other cognitive tasks."
21241951,https://pubmed.ncbi.nlm.nih.gov/21241951/,"OBJECTIVE: There is increasing interest regarding the risk and overlap of executive function deficits (EFDs) in stable cigarette smoking and substance use disorders (SUD). Therefore, we examined whether earlier EFD was a risk factor for subsequent cigarette smoking and SUD and further explored the relationship between EFD and SUD.
METHOD: We assessed 435 subjects at the 5-year follow-up (232 subjects with attention-deficit/hyperactivity disorder [ADHD], mean age ± SD: 15.4 ± 3.43 years; and 203 controls: 16.3 ± 3.42 years) and again 4 to 5 years later as part of a prospective family study of youth with ADHD. Individuals were assessed by structured psychiatric interview for psychopathology and SUD. EFD was categorically defined in an individual who had abnormal results on at least two of six neuropsychological tests of executive functioning.
RESULTS: At the final follow-up period, ADHD was found to be a significant predictor of stable cigarette smoking (p < .01) and SUD into late adolescence and young adult years (p < .01). However, EFDs were not associated with an increase in subsequent substance use outcomes. New-onset stable cigarette smoking, but not SUD, was associated with subsequent EFD (p < .01).
CONCLUSIONS: Our results do not support the hypothesis that EFDs predicts later stable cigarette smoking or SUD in children with ADHD growing up. However, stable cigarette smoking is associated with subsequent EFD."
21242060,https://pubmed.ncbi.nlm.nih.gov/21242060/,"OBJECTIVE: Studies in first episode psychosis samples about status of cardiovascular risk factors have shown discordant results. We aimed to determine the 10-year risk of developing coronary heart disease in a sample of first episode psychosis patients referred to an early intervention clinic and compared the same with age, gender, and race matched controls from the U.S. National Health and Nutrition Examination Survey (NHANES).
METHOD: We conducted a cross-sectional analysis of baseline data of 56 subjects enrolled in first episode psychosis clinic from April 2006 to January 2010. This sample was compared with age, gender, and race matched 145 individuals drawn from NHANES 2005-2006 database. Sociodemographic and clinical variables were collected. Physical examination including laboratory evaluation was used to screen for common medical illnesses. The 10-year risk of developing coronary heart disease was calculated by using a tool developed by the National Cholesterol Education Program (NCEP-ATP III).
RESULTS: There were elevated rates of smoking (46%) and hypertension (11%) albeit statistically significant differences from the control could not be demonstrated for these measures or weight, body mass index, or total or HDL cholesterol, fasting plasma glucose, status of diabetes and impaired fasting plasma glucose, HbA1C level. The 10-year median (range) risk of developing coronary heart disease in patients and controls was 1 (0-5)% and 0 (0-9)% respectively. The difference was not statistically significant.
CONCLUSIONS: First episode psychosis patients do not present with significantly higher cardiovascular risk than age and race-matched controls despite clinically significant prevalence of individual risk factors. This sample presents an opportunity for early intervention for the primary prevention of cardiovascular morbidity and mortality."
21242094,https://pubmed.ncbi.nlm.nih.gov/21242094/,"OBJECTIVE: The introduction of modern staging systems such as computed tomography (CT) and positron emission tomography/CT (PET/CT) with fluorodeoxyglucose ([(18)F]FDG) has increased the detection of small peripheral lung cancers at an early stage. We analyzed the behavior of pathological T1 non-small-cell lung cancer (NSCLC) to identify criteria predictive of nodal involvement, and the role of cancer size in lymph node metastases.
METHODS: We retrospectively analyzed 219 patients with pathological T1 NSCLC. All patients were staged by high-resolution CT and PET as stage I, and underwent anatomical resection and radical lymphadenectomy. Our data were collected based on pathological nodule size (0-10 mm; 11-20 mm; and 21-30 mm); morphological features of lung nodule and FDG uptake of the tumor measured by standardized uptake value (SUV).
RESULTS: A total of 190 patients (87%) were pN0, 14 (6%) pN1, and 15 (7%) pN2. No nodal involvement was observed in any of the 62 patients with nodule size less than 10 mm, in 20 out of 120 patients (17%) with nodule size 11-20 mm, and in nine out of 37 tumors (28%) 21-30 mm in size (p=0.0007). All 55 patients with nodule SUV<2.0 and all 26 non-solid lesions were pN0 (respectively, p=0.0001 and p=0.03). All nodal metastases occurred among the group of 132 patients with size larger than 10 mm and SUV higher than 2.0 with a 22% rate of nodal involvement of (29 patients) (p<0.0001).
CONCLUSIONS: The low probability of lymph node involvement in NSCLC <1 cm or showing glucose uptake <2 suggests lymphadenectomy could be avoided. A randomized trial should be performed to validate our data."
21242161,https://pubmed.ncbi.nlm.nih.gov/21242161/,"OBJECTIVE: In 2004, the Taiwan Department of Health set the national patient safety goals. To date, however, there has been no evaluation of these goals. This study aimed to develop a method to evaluate the status of the national patient safety goals in Taiwan.
DESIGN: A cross-sectional questionnaire surveys to measure achievements on Taiwan's national patient safety goals. This survey was also followed up with an onsite audit to ensure accuracy.
SETTING: All hospitals in Taiwan.
PARTICIPANTS: A total of 361 hospitals in Taiwan respond to questionnaire survey and 80 randomly selected hospitals for onsite audit.
INTERVENTIONS: None.
MAIN OUTCOME MEASURES: Average scores on achievements of the national patient safety goals.
RESULTS: Among the 516 hospitals to which the questionnaire was sent, 361 (70%) responded. A total of 80 hospitals were randomly selected according to geographic location and size for onsite audit. The results show that the longer the period of implementation, the higher the average scores on achievements of the goals. After stratified analysis by hospital size, the large hospitals were found to have a higher average score in every goal, especially in the new goals. Furthermore, in terms of the difference between self-report results and the onsite audit, the score in the self-report was higher than the score given by experts upon onsite audit; however, they were similar. Most items were approximately the same in the self-report score and the onsite judgment, and those that differed were merely either one rank higher or lower.
CONCLUSION: The self-report questionnaire combined with an onsite audit appears to be a promising approach for measuring scores on achievements of the national patient safety goals. The Department of Health could conduct this program annually to evaluate the progress and propose coping strategies."
21242236,https://pubmed.ncbi.nlm.nih.gov/21242236/,"OBJECTIVES: Patients can fulfil clinical criteria for remission, yet still have evidence of synovitis detectable clinically and by ultrasound, and this is associated with structural damage. Stricter remission criteria may more accurately reflect true remission (no synovitis). This hypothesis was examined by studying patients using more stringent thresholds for clinical remission and determining their levels of ultrasound synovitis.
METHODS: Rheumatoid arthritis patients with a disease activity score in 28 joints (DAS28) ≤2.6 for at least 6 months were classified using standard and more stringent DAS28 and simplified disease activity index (SDAI) remission thresholds and the corresponding clinical and ultrasound imaging measures of synovitis recorded.
RESULTS: 128 patients (all DAS28 <2.6, median DAS28 1.70) receiving either disease-modifying antirheumatic drugs alone (n=66) or with a tumour necrosis factor blocker (n=62) were recruited. Of the 640 imaged joints, 5% had moderate or severe power Doppler (PD) activity, 8% were clinically swollen and 1% tender. In patients fulfilling DAS28, American College of Rheumatology or SDAI remission criteria, moderate or severe PD activity was present in 21%, 15% and 19%, respectively. More stringent DAS28 and SDAI criteria reduced the mean number of swollen and tender joints (p<0.001) but not the percentage of patients with PD activity: 32 patients had a DAS28 <1.17 but eight (25%) had significant PD activity.
CONCLUSION: Using more stringent remission criteria resulted in reduced signs and symptoms of inflammation, but the percentage of joints with PD activity was not reduced, even in those without signs or symptoms. These data suggest that clinical criteria are sufficiently insensitive to detect low but clinically relevant levels of inflammation accurately."
21242240,https://pubmed.ncbi.nlm.nih.gov/21242240/,"BACKGROUND: Preterm infants have reduced liver stores of vitamin A at birth compared to term born infants. Current guidelines recommend an intake of 700-1500 IU/kg/day vitamin A, and there is evidence to support higher doses for infants with significant lung disease. The importance of appropriate early nutrition for preterm infants is increasingly becoming apparent.
OBJECTIVES: To examine whether preterm infants admitted to a UK neonatal unit received the currently recommended amounts of vitamin A during the first 4 weeks of life, and to identify the feeding patterns associated with optimal vitamin A intake.
DESIGN: Retrospective case note review.
SETTING: UK tertiary neonatal unit.
POPULATION: 36 preterm infants with a median gestation of 30 weeks (range 26-33 weeks) and median birth weight of 1305 g (range 880-1800 g).
MAIN OUTCOME MEASURE: Mean daily total intake of vitamin A in each of the first 4 weeks of life.
RESULTS: Despite a policy of introducing intravenous lipid supplemented with fat soluble vitamins on day 2, only four infants (11%) consistently met the recommended daily intake of vitamin A during the first 2 weeks of life. Adequacy of vitamin A intake in the first 2 weeks of life was not predicted by gestation or pattern of feeding.
CONCLUSION: Recommendations for intravenous vitamin A supplementation in parenterally fed preterm infants require revision. Intravenous lipid with added fat soluble vitamins should be started as soon as possible after birth, and consideration given to early oral vitamin A supplementation in those infants tolerant of enteral feeds."
21242668,https://pubmed.ncbi.nlm.nih.gov/21242668/,"BACKGROUND: Type 1 diabetes (T1D) patients are at risk for additional autoimmune diseases (AID).
OBJECTIVE: To compare the characteristics of associated autoimmunity among familial (parent-offspring and sib-pair) subgroups and sporadic T1D patients.
PATIENTS AND METHODS: Data regarding AID in T1D patients and their nuclear family members were extracted from medical files of 121 multiplex T1D families (58 parent-offspring, 63 sib-pairs) and 226 sporadic controls followed between 1979 and 2008.
RESULTS: The prevalence of associated autoimmunity was similar in familial and sporadic cases (33.6 vs. 32.7%). The frequency of additional AID and percentage of patients with two or more coexistent AID were significantly higher among sib-pairs than parent-offspring (p = 0.05 and p = 0.04, respectively). The median time elapsed between diagnosis of T1D and occurrence of additional autoimmunity tended to be shorter in the sib-pairs. Only in familial cases did a positive autoimmune family background predict the development of coexistent autoimmunity (OR = 2.11, CI [1.0, 4.49] p = 0.05).
CONCLUSIONS: Among sib-pairs with T1D, the higher prevalence of additional AID, the increased number of diseases per person, and the relatively earlier appearance of associated AID suggest an increased susceptibility for coexistent autoimmunity in this subgroup. Positive family history for autoimmunity in multiplex T1D families increased their risk for co-occurrence of AID."
21242690,https://pubmed.ncbi.nlm.nih.gov/21242690/,"BACKGROUND/AIMS: Conversion rates to dementia are known to be high for patients with mild cognitive impairment (MCI), but the diagnosis of MCI is very time-consuming. Since the Clock Drawing Test (CDT) is quick to administer, it will be of interest to compare the predictive validity of the CDT and of an MCI diagnosis for the diagnosis of dementia.
METHODS: In a sample of 384 individuals, CDT scores and the presence of MCI were assessed at baseline and then compared between individuals with an incident dementia diagnosis at follow-up and those without. Multivariate analyses, receiver operating characteristic analyses and values of sensitivity and specificity of the CDT were performed.
RESULTS: Individuals with incident dementia had significantly higher CDT scores at baseline than those without dementia. CDT was a significant predictor of incident dementia after adjusting for other factors. CDT reached a sensitivity of 68% and specificity of 65%. The area under the receiver operating characteristic curve of CDT was 0.70 and therefore slightly lower than for MCI diagnosis (0.78).
CONCLUSIONS: Because of the only slightly lower predictive value of the CDT, its quick application and scoring compared to the MCI concept applied, it will be worthwhile to improve the CDT scoring system in order to increase the predictive validity in dementia."
21242797,https://pubmed.ncbi.nlm.nih.gov/21242797/,"OBJECTIVES: Pralidoxime is an organic cation used as an antidote in addition to atropine to treat organophosphate poisoning. Pralidoxime is rapidly eliminated by the renal route and thus has limited action. The objectives of this work were as follows. 1) Study the role of organic cation transporters in the renal secretion of pralidoxime using organic cation transporter substrates (tetraethylammonium) and knockout mice (Oct1/2⁻/⁻; Oct3⁻/⁻). 2) Assess whether sustained high plasma concentrations increase pralidoxime antidotal activity toward paraoxon-induced respiratory toxicity.
SETTING: INSERM U705, Faculté de Pharmacie, Université Paris Descartes, 4 Avenue de l'Observatoire, 75006 Paris, France.
SUBJECTS: Rodents: Knockout mice (Oct1/2⁻/⁻; Oct3⁻/⁻) and Sprague-Dawley rats.
INTERVENTIONS: None.
MEASUREMENTS AND MAIN RESULTS: In rats, the renal clearance of pralidoxime was 3.6-fold higher than the creatinine clearance. Pretreatment with tetraethylammonium (75 mg/kg) in rats or deficiencies in organic cation transporters 1 and 2 in mice (Oct1/2⁻/⁻) resulted in a significant increase in plasma pralidoxime concentrations. Lack of Oct3 did not alter plasma pralidoxime concentrations. The antidotal activity of pralidoxime (50 mg/kg intramuscularly) was longer and with greater effect, resulting in a return to normal values when administered to rats pretreated with tetraethylammonium.
CONCLUSIONS: Pralidoxime is secreted in rats and mice by renal Oct1 and/or Oct2 but not by Oct3. Modulation of organic cation transporter activity increased the plasma pralidoxime concentrations and the antidotal effect of pralidoxime with sustained return within the normal range of respiratory variables in paraoxon-poisoned rats. These results suggest a promising approach in an animal model toward the increase in efficiency of pralidoxime. However, further studies are needed before these results are extended to human poisoning."
